Sales Person,Country,Product,Date,Amount,Boxes Shipped,Price per box,Month,Year,Month-Year,Sales Category,Sales Perfomrance,Region
Husein Augar,UK,Spicy Special Slims,8/25/2022,4697,42,111.8333333,Aug,2022,Aug-2022,Low,Standard,Europe
Marney O'Breen,USA,Almond Choco,2/25/2022,7798,167,46.69461078,Feb,2022,Feb-2022,Meduim,Standard,Others
Kelci Walkden,India,Orange Choco,6/7/2022,9408,138,68.17391304,Jun,2022,Jun-2022,Meduim,Standard,Asia
Jan Morforth,India,Spicy Special Slims,4/12/2022,1939,520,3.728846154,Apr,2022,Apr-2022,Low,Standard,Asia
Ches Bonnell,India,Spicy Special Slims,7/6/2022,10906,94,116.0212766,Jul,2022,Jul-2022,High,High Performer,Asia
Kelci Walkden,UK,Smooth Sliky Salty,1/19/2022,5929,175,33.88,Jan,2022,Jan-2022,Meduim,Standard,Europe
Madelene Upcott,Australia,Fruit & Nut Bars,1/5/2022,5579,92,60.64130435,Jan,2022,Jan-2022,Meduim,Standard,Oceania
Madelene Upcott,Canada,70% Dark Bites,1/24/2022,10927,141,77.4964539,Jan,2022,Jan-2022,High,High Performer,Others
Wilone O'Kielt,Australia,Drinking Coco,4/6/2022,623,283,2.201413428,Apr,2022,Apr-2022,Low,Standard,Oceania
Gunar Cockshoot,Australia,Fruit & Nut Bars,6/15/2022,6013,21,286.3333333,Jun,2022,Jun-2022,Meduim,Standard,Oceania
Gigi Bohling,Canada,Baker's Choco Chips,1/28/2022,1505,47,32.0212766,Jan,2022,Jan-2022,Low,Standard,Others
Kelci Walkden,India,Caramel Stuffed Bars,3/16/2022,476,125,3.808,Mar,2022,Mar-2022,Low,Standard,Asia
Rafaelita Blaksland,Australia,Drinking Coco,2/21/2022,11550,396,29.16666667,Feb,2022,Feb-2022,High,High Performer,Oceania
Kelci Walkden,USA,Manuka Honey Choco,2/16/2022,17318,87,199.0574713,Feb,2022,Feb-2022,High,High Performer,Others
Jehu Rudeforth,Canada,Spicy Special Slims,1/13/2022,1848,27,68.44444444,Jan,2022,Jan-2022,Low,Standard,Others
Kelci Walkden,Australia,Eclairs,3/23/2022,7273,547,13.29616088,Mar,2022,Mar-2022,Meduim,Standard,Oceania
Curtice Advani,Canada,Spicy Special Slims,6/16/2022,854,118,7.237288136,Jun,2022,Jun-2022,Low,Standard,Others
Oby Sorrel,India,Raspberry Choco,4/14/2022,6832,46,148.5217391,Apr,2022,Apr-2022,Meduim,Standard,Asia
Kelci Walkden,UK,Eclairs,1/25/2022,4606,57,80.80701754,Jan,2022,Jan-2022,Low,Standard,Europe
Jan Morforth,India,Almond Choco,3/11/2022,4466,22,203,Mar,2022,Mar-2022,Low,Standard,Asia
Dotty Strutley,UK,Almond Choco,7/28/2022,16114,96,167.8541667,Jul,2022,Jul-2022,High,High Performer,Europe
Marney O'Breen,New Zealand,After Nines,3/9/2022,1561,44,35.47727273,Mar,2022,Mar-2022,Low,Standard,Others
Husein Augar,Australia,Orange Choco,6/28/2022,8897,188,47.32446809,Jun,2022,Jun-2022,Meduim,Standard,Oceania
Marney O'Breen,Australia,Milk Bars,7/28/2022,2464,387,6.366925065,Jul,2022,Jul-2022,Low,Standard,Oceania
Kelci Walkden,Canada,99% Dark & Pure,8/15/2022,4830,50,96.6,Aug,2022,Aug-2022,Low,Standard,Others
Kaine Padly,Australia,Manuka Honey Choco,1/12/2022,2765,264,10.47348485,Jan,2022,Jan-2022,Low,Standard,Oceania
Beverie Moffet,New Zealand,White Choc,3/24/2022,7126,7,1018,Mar,2022,Mar-2022,Meduim,Standard,Others
Van Tuxwell,UK,Milk Bars,7/25/2022,4263,90,47.36666667,Jul,2022,Jul-2022,Low,Standard,Europe
Oby Sorrel,Canada,99% Dark & Pure,8/1/2022,3605,403,8.945409429,Aug,2022,Aug-2022,Low,Standard,Others
Van Tuxwell,India,Organic Choco Syrup,5/16/2022,19929,174,114.5344828,May,2022,May-2022,High,High Performer,Asia
Roddy Speechley,India,Smooth Sliky Salty,8/10/2022,5103,140,36.45,Aug,2022,Aug-2022,Meduim,Standard,Asia
Jan Morforth,India,Eclairs,1/5/2022,2541,27,94.11111111,Jan,2022,Jan-2022,Low,Standard,Asia
Ches Bonnell,UK,Smooth Sliky Salty,7/11/2022,5663,110,51.48181818,Jul,2022,Jul-2022,Meduim,Standard,Europe
Wilone O'Kielt,USA,After Nines,4/25/2022,392,30,13.06666667,Apr,2022,Apr-2022,Low,Standard,Others
Gigi Bohling,New Zealand,Fruit & Nut Bars,4/4/2022,10976,121,90.7107438,Apr,2022,Apr-2022,High,High Performer,Others
Barr Faughny,USA,Raspberry Choco,4/12/2022,9282,101,91.9009901,Apr,2022,Apr-2022,Meduim,Standard,Others
Wilone O'Kielt,New Zealand,85% Dark Bars,8/2/2022,1827,117,15.61538462,Aug,2022,Aug-2022,Low,Standard,Others
Gigi Bohling,New Zealand,Manuka Honey Choco,6/28/2022,8267,272,30.39338235,Jun,2022,Jun-2022,Meduim,Standard,Others
Ches Bonnell,Australia,Eclairs,7/5/2022,4116,128,32.15625,Jul,2022,Jul-2022,Low,Standard,Oceania
Rafaelita Blaksland,New Zealand,Choco Coated Almonds,6/7/2022,2093,45,46.51111111,Jun,2022,Jun-2022,Low,Standard,Others
Brien Boise,New Zealand,Smooth Sliky Salty,1/18/2022,1015,27,37.59259259,Jan,2022,Jan-2022,Low,Standard,Others
Brien Boise,Australia,Baker's Choco Chips,1/4/2022,12516,212,59.03773585,Jan,2022,Jan-2022,High,High Performer,Oceania
Dennison Crosswaite,Australia,99% Dark & Pure,1/31/2022,2758,18,153.2222222,Jan,2022,Jan-2022,Low,Standard,Oceania
Kelci Walkden,India,Almond Choco,3/14/2022,3297,149,22.12751678,Mar,2022,Mar-2022,Low,Standard,Asia
Camilla Castle,Australia,70% Dark Bites,4/29/2022,6048,477,12.67924528,Apr,2022,Apr-2022,Meduim,Standard,Oceania
Oby Sorrel,India,Smooth Sliky Salty,2/7/2022,10101,108,93.52777778,Feb,2022,Feb-2022,High,High Performer,Asia
Kaine Padly,UK,Organic Choco Syrup,3/31/2022,2282,178,12.82022472,Mar,2022,Mar-2022,Low,Standard,Europe
Marney O'Breen,India,Caramel Stuffed Bars,3/16/2022,4361,81,53.83950617,Mar,2022,Mar-2022,Low,Standard,Asia
Karlen McCaffrey,UK,Eclairs,1/25/2022,7798,196,39.78571429,Jan,2022,Jan-2022,Meduim,Standard,Europe
Van Tuxwell,India,Baker's Choco Chips,6/20/2022,3052,447,6.827740492,Jun,2022,Jun-2022,Low,Standard,Asia
Gigi Bohling,UK,After Nines,3/29/2022,8029,175,45.88,Mar,2022,Mar-2022,Meduim,Standard,Europe
Curtice Advani,Australia,Orange Choco,7/12/2022,854,136,6.279411765,Jul,2022,Jul-2022,Low,Standard,Oceania
Jehu Rudeforth,Canada,Smooth Sliky Salty,7/11/2022,5460,138,39.56521739,Jul,2022,Jul-2022,Meduim,Standard,Others
Karlen McCaffrey,Canada,Smooth Sliky Salty,1/19/2022,3017,184,16.39673913,Jan,2022,Jan-2022,Low,Standard,Others
Andria Kimpton,USA,85% Dark Bars,4/5/2022,8911,82,108.6707317,Apr,2022,Apr-2022,Meduim,Standard,Others
Jehu Rudeforth,Canada,Milk Bars,2/21/2022,7203,12,600.25,Feb,2022,Feb-2022,Meduim,Standard,Others
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,5/20/2022,13083,14,934.5,May,2022,May-2022,High,High Performer,Others
Mallorie Waber,Australia,Milk Bars,7/29/2022,2779,104,26.72115385,Jul,2022,Jul-2022,Low,Standard,Oceania
Barr Faughny,USA,Fruit & Nut Bars,1/28/2022,9058,46,196.9130435,Jan,2022,Jan-2022,Meduim,Standard,Others
Marney O'Breen,UK,Caramel Stuffed Bars,7/19/2022,3549,112,31.6875,Jul,2022,Jul-2022,Low,Standard,Europe
Mallorie Waber,New Zealand,Manuka Honey Choco,4/13/2022,9436,11,857.8181818,Apr,2022,Apr-2022,Meduim,Standard,Others
Roddy Speechley,India,Peanut Butter Cubes,2/11/2022,10283,21,489.6666667,Feb,2022,Feb-2022,High,High Performer,Asia
Roddy Speechley,New Zealand,Milk Bars,3/2/2022,5446,116,46.94827586,Mar,2022,Mar-2022,Meduim,Standard,Others
Ches Bonnell,Australia,White Choc,3/2/2022,1043,202,5.163366337,Mar,2022,Mar-2022,Low,Standard,Oceania
Van Tuxwell,USA,99% Dark & Pure,7/28/2022,12586,6,2097.666667,Jul,2022,Jul-2022,High,High Performer,Others
Kelci Walkden,India,After Nines,1/7/2022,1687,520,3.244230769,Jan,2022,Jan-2022,Low,Standard,Asia
Brien Boise,UK,White Choc,4/12/2022,5299,167,31.73053892,Apr,2022,Apr-2022,Meduim,Standard,Europe
Van Tuxwell,Canada,Almond Choco,6/27/2022,3213,72,44.625,Jun,2022,Jun-2022,Low,Standard,Others
Jehu Rudeforth,Australia,50% Dark Bites,1/14/2022,5194,418,12.42583732,Jan,2022,Jan-2022,Meduim,Standard,Oceania
Karlen McCaffrey,UK,Baker's Choco Chips,2/7/2022,4753,389,12.218509,Feb,2022,Feb-2022,Low,Standard,Europe
Jehu Rudeforth,Australia,Orange Choco,3/23/2022,13706,26,527.1538462,Mar,2022,Mar-2022,High,High Performer,Oceania
Marney O'Breen,India,Peanut Butter Cubes,1/10/2022,6489,146,44.44520548,Jan,2022,Jan-2022,Meduim,Standard,Asia
Oby Sorrel,UK,Choco Coated Almonds,3/17/2022,9324,41,227.4146341,Mar,2022,Mar-2022,Meduim,Standard,Europe
Gigi Bohling,USA,Spicy Special Slims,1/21/2022,10829,54,200.537037,Jan,2022,Jan-2022,High,High Performer,Others
Barr Faughny,Australia,White Choc,7/4/2022,8113,370,21.92702703,Jul,2022,Jul-2022,Meduim,Standard,Oceania
Kaine Padly,Canada,Peanut Butter Cubes,7/4/2022,3269,176,18.57386364,Jul,2022,Jul-2022,Low,Standard,Others
Dotty Strutley,USA,Manuka Honey Choco,8/10/2022,273,210,1.3,Aug,2022,Aug-2022,Low,Standard,Others
Dennison Crosswaite,Australia,50% Dark Bites,4/1/2022,7287,12,607.25,Apr,2022,Apr-2022,Meduim,Standard,Oceania
Gigi Bohling,India,Raspberry Choco,2/22/2022,2583,159,16.24528302,Feb,2022,Feb-2022,Low,Standard,Asia
Camilla Castle,UK,White Choc,1/3/2022,9982,187,53.37967914,Jan,2022,Jan-2022,Meduim,Standard,Europe
Karlen McCaffrey,India,Drinking Coco,5/31/2022,4795,233,20.57939914,May,2022,May-2022,Low,Standard,Asia
Dotty Strutley,UK,99% Dark & Pure,1/3/2022,9310,282,33.0141844,Jan,2022,Jan-2022,Meduim,Standard,Europe
Husein Augar,New Zealand,Caramel Stuffed Bars,1/27/2022,497,475,1.046315789,Jan,2022,Jan-2022,Low,Standard,Others
Barr Faughny,UK,50% Dark Bites,1/28/2022,581,65,8.938461538,Jan,2022,Jan-2022,Low,Standard,Europe
Curtice Advani,Australia,Organic Choco Syrup,6/28/2022,3472,311,11.16398714,Jun,2022,Jun-2022,Low,Standard,Oceania
Husein Augar,UK,Choco Coated Almonds,3/2/2022,4333,43,100.7674419,Mar,2022,Mar-2022,Low,Standard,Europe
Wilone O'Kielt,Australia,After Nines,5/27/2022,3325,26,127.8846154,May,2022,May-2022,Low,Standard,Oceania
Dennison Crosswaite,USA,Almond Choco,6/30/2022,11718,84,139.5,Jun,2022,Jun-2022,High,High Performer,Others
Barr Faughny,Canada,Peanut Butter Cubes,6/7/2022,2100,78,26.92307692,Jun,2022,Jun-2022,Low,Standard,Others
Kaine Padly,USA,70% Dark Bites,5/12/2022,4018,100,40.18,May,2022,May-2022,Low,Standard,Others
Barr Faughny,New Zealand,Raspberry Choco,7/29/2022,6468,66,98,Jul,2022,Jul-2022,Meduim,Standard,Others
Dennison Crosswaite,UK,White Choc,8/3/2022,7238,265,27.31320755,Aug,2022,Aug-2022,Meduim,Standard,Europe
Barr Faughny,India,Baker's Choco Chips,8/18/2022,6454,141,45.77304965,Aug,2022,Aug-2022,Meduim,Standard,Asia
Van Tuxwell,New Zealand,Smooth Sliky Salty,6/14/2022,3115,42,74.16666667,Jun,2022,Jun-2022,Low,Standard,Others
Beverie Moffet,UK,White Choc,6/30/2022,6475,76,85.19736842,Jun,2022,Jun-2022,Meduim,Standard,Europe
Camilla Castle,New Zealand,Mint Chip Choco,6/13/2022,1162,190,6.115789474,Jun,2022,Jun-2022,Low,Standard,Others
Ches Bonnell,UK,Orange Choco,4/27/2022,14238,54,263.6666667,Apr,2022,Apr-2022,High,High Performer,Europe
Jan Morforth,Australia,White Choc,7/27/2022,3472,32,108.5,Jul,2022,Jul-2022,Low,Standard,Oceania
Mallorie Waber,Canada,85% Dark Bars,4/20/2022,1428,424,3.367924528,Apr,2022,Apr-2022,Low,Standard,Others
Rafaelita Blaksland,India,Spicy Special Slims,1/4/2022,8064,134,60.17910448,Jan,2022,Jan-2022,Meduim,Standard,Asia
Ches Bonnell,Australia,Mint Chip Choco,2/21/2022,9660,92,105,Feb,2022,Feb-2022,Meduim,Standard,Oceania
Karlen McCaffrey,Australia,White Choc,1/5/2022,7357,48,153.2708333,Jan,2022,Jan-2022,Meduim,Standard,Oceania
Beverie Moffet,India,Drinking Coco,7/15/2022,6055,46,131.6304348,Jul,2022,Jul-2022,Meduim,Standard,Asia
Brien Boise,Australia,Choco Coated Almonds,5/25/2022,5124,62,82.64516129,May,2022,May-2022,Meduim,Standard,Oceania
Karlen McCaffrey,Canada,Eclairs,4/20/2022,3479,358,9.717877095,Apr,2022,Apr-2022,Low,Standard,Others
Gigi Bohling,USA,99% Dark & Pure,6/2/2022,784,249,3.148594378,Jun,2022,Jun-2022,Low,Standard,Others
Marney O'Breen,UK,Smooth Sliky Salty,5/13/2022,18991,88,215.8068182,May,2022,May-2022,High,High Performer,Europe
Beverie Moffet,New Zealand,Baker's Choco Chips,8/3/2022,1372,144,9.527777778,Aug,2022,Aug-2022,Low,Standard,Others
Beverie Moffet,Australia,Milk Bars,5/25/2022,735,390,1.884615385,May,2022,May-2022,Low,Standard,Oceania
